id,source_name_ru,name_ru,name_en,url_base
reciter-001,Абдулла Камель,Абдулла Камель,Abdullah Kamel,https://server16.mp3quran.net/kamel/Rewayat-Hafs-A-n-Assem
reciter-002,Абдель Рахман Бенмусса,Абдель Рахман Бенмусса,Abdel Rahman Benmoussa,https://ia800608.us.archive.org/31/items/alfirdwsiy1433_gmail_46799767979696767967469644696496799201706
reciter-003,Абдул Хамид Эхсаин,Абдул Хамид Эхсаин,Abdul Hamid Ahsayn — Warsh,https://ia601009.us.archive.org/4/items/114-sora-abd-alhameed-ahsayn--quran-warsh-64kb
reciter-004,Абдель Муджиб Бенкиран,Абдель Муджиб Бенкиран,Abdelmoujib Benkirane,https://ia801906.us.archive.org/27/items/A_B_K
reciter-005,Абдул Халим Хусейн,Абдул Халим Хусейн,Abdulhalim Hussein,https://ia801506.us.archive.org/3/items/Abdualhaleem-Hussain
reciter-006,Абдул Басит Абдул Самад Тартиль,Абдул Басит Абдул Самад Тартиль,Abdulbasit Abdulsamad — Tarteel (Hafs),https://server7.mp3quran.net/basit
reciter-007,Абдул Басит Абдул Самад Таджвид,Абдул Басит Абдул Самад Таджвид,Abdulbasit Abdulsamad — Tajwid,https://server7.mp3quran.net/basit/Almusshaf-Al-Mojawwad
reciter-008,Абдул Басит Абдул Самад Варш,Абдул Басит Абдул Самад Варш,Abdulbasit Abdulsamad — Warsh,https://server7.mp3quran.net/basit/Rewayat-Warsh-A-n-Nafi
reciter-009,Абдельхади Канакри,Абдельхади Канакри,Abdulhadi Kanakeri,https://server6.mp3quran.net/kanakeri
reciter-010,Абдул Мохсен Аль Харти,Абдул Мохсен Аль Харти,Abdulmohsin Al-Harthy,https://server6.mp3quran.net/mohsin_harthi
reciter-011,Абдул Мохсен Аль-Касим,Абдул Мохсен Аль-Касим,Abdulmohsen Al-Qasim,https://server8.mp3quran.net/qasm
reciter-012,Абдул Рахман Аль Маджед,Абдул Рахман Аль Маджед,Abdulrahman Al-Majed,https://server10.mp3quran.net/a_majed
reciter-013,Абдул Рахман Аль-Авси,Абдул Рахман Аль-Авси,Abdulrahman Aloosi,https://server6.mp3quran.net/aloosi
reciter-014,Абдул Рахман Аль-Джуради,Абдул Рахман Аль-Джуради,Abdulrahman Al-Juraydi,https://ia803202.us.archive.org/10/items/aljrrayddi
reciter-015,Абдулрахман Альсудаис,Абдулрахман Альсудаис,Abdulrahman Alsudaes,https://server11.mp3quran.net/sds
reciter-016,Абдул Рашид Софи,Абдул Рашид Софи,Abdulrasheed Soufi,https://server16.mp3quran.net/soufi/Rewayat-Khalaf-A-n-Hamzah
reciter-017,Абдул Азиз Аль Ахмад,Абдул Азиз Аль Ахмад,Abdul Aziz Al-Ahmad,https://server11.mp3quran.net/a_ahmed
reciter-018,Абдулазиз Аль-Захрани,Абдулазиз Аль-Захрани,Abdulaziz Az-Zahrani,https://server9.mp3quran.net/zahrani
reciter-019,Абдул Бари Аль Тубаити,Абдул Бари Аль Тубаити,Abdelbari Al-Toubayti,https://server6.mp3quran.net/thubti
reciter-020,Абдул Кабир Аль Хадиди,Абдул Кабир Аль Хадиди,Abdul Kabir Al-Hadidi,https://ia801007.us.archive.org/15/items/mp3quran34
reciter-021,Абдуллах аль-Карафи,Абдуллах аль-Карафи,Abdullah Alqarafi,https://server16.mp3quran.net/a_alqrafi/Rewayat-Hafs-A-n-Assem
reciter-022,Абдулла Аль-Джухани,Абдулла Аль-Джухани,Abdullah Al-Juhani,https://ia903409.us.archive.org/26/items/s20sssssssssssssssssssssssss210418
reciter-023,Абдулла Аль Халаф,Абдулла Аль Халаф,Abdullah Al-Khalaf,https://ia800400.us.archive.org/27/items/alfirdwsiy1433_gmail_002_2679777666666666666666666666666666696794696901706
reciter-024,Абдулла Аль-Хелаифи,Абдулла Аль-Хелаифи,Abdullah Al-Khulaifi,https://ia804709.us.archive.org/9/items/rsalafs-Quran-alkhaleefy
reciter-025,Абдулла Матруд,Абдулла Матруд,Abdullah Al-Mattrod,https://server8.mp3quran.net/mtrod
reciter-026,Абдулла Аль Муса,Абдулла Аль Муса,Abdullah Al-Mousa,https://ia800206.us.archive.org/0/items/002_20240329
reciter-027,Абдулла Басфар,Абдулла Басфар,Abdullah Basfer,https://server6.mp3quran.net/bsfr
reciter-028,Абдулла Хаят,Абдулла Хаят,Abdullah Khayyat,https://server12.mp3quran.net/kyat
reciter-029,Абдул-Вадуд Ханиф,Абдул-Вадуд Ханиф,Abdulwadood Haneef,https://server8.mp3quran.net/wdod
reciter-030,Абдул Раззак аль-Дулайми,Абдул Раззак аль-Дулайми,Abdul Razzaq Al-Dulaimi,https://ia601308.us.archive.org/16/items/www.elahmad.com_46
reciter-031,Абу Бакр аль-Шатри,Абу Бакр аль-Шатри,Shaik Abu Bakr Al Shatri,https://server11.mp3quran.net/shatri
reciter-032,Адель Аль Калбани,Адель Аль Калбани,Adel Al-Khalbany,https://server8.mp3quran.net/a_klb
reciter-033,Адель Райан,Адель Райан,Adel Ryyan,https://server8.mp3quran.net/ryan
reciter-034,Ахмед Амер,Ахмед Амер,Ahmed Amer,https://server10.mp3quran.net/Aamer
reciter-035,Ахмад Альнуфаис,Ахмад Альнуфаис,Ahmad Al Nufais,https://server16.mp3quran.net/nufais/Rewayat-Hafs-A-n-Assem
reciter-036,Ахмед Наина,Ахмед Наина,Ahmad Nauina,https://server11.mp3quran.net/ahmad_nu
reciter-037,Ахмед Аль-Аджми,Ахмед Аль-Аджми,Ahmed Al-Ajmi,https://server10.mp3quran.net/ajm/128
reciter-038,Ахмед аль-Лахдан ад-Досари,Ахмед аль-Лахдан ад-Досари,Ahmad Al-Lahdan Al-Dosari,https://ia601708.us.archive.org/6/items/128---kb---mp3----quran---full---by---ahmad-allahdan
reciter-039,Ахмед Дибан,Ахмед Дибан,Ahmed Deeban,https://ia803000.us.archive.org/20/items/Z02_20190528
reciter-040,Ахмед Исса Аль-Масрави,Ахмед Исса Аль-Масрави,Ahmad Issa Al Maasaraawi,https://server16.mp3quran.net/a_maasaraawi/Rewayat-Hafs-A-n-Assem
reciter-041,Ахмед Касиб,Ахмед Касиб,Ahmad Kaseb,https://archive.org/download/Ahmad-Kaseb
